ID_CLIENT,PAYMENT_DAY,APPLICATION_SUBMISSION_TYPE,POSTAL_ADDRESS_TYPE,SEX,MARITAL_STATUS,QUANT_DEPENDANTS,STATE_OF_BIRTH,NACIONALITY,RESIDENCIAL_STATE,FLAG_RESIDENCIAL_PHONE,RESIDENCIAL_PHONE_AREA_CODE,RESIDENCE_TYPE,MONTHS_IN_RESIDENCE,FLAG_EMAIL,OTHER_INCOMES,FLAG_VISA,FLAG_MASTERCARD,FLAG_DINERS,FLAG_AMERICAN_EXPRESS,FLAG_OTHER_CARDS,QUANT_BANKING_ACCOUNTS,PERSONAL_ASSETS_VALUE,QUANT_CARS,COMPANY,PROFESSIONAL_STATE,FLAG_PROFESSIONAL_PHONE,PROFESSIONAL_PHONE_AREA_CODE,MONTHS_IN_THE_JOB,PROFESSION_CODE,OCCUPATION_TYPE,PRODUCT,AGE
29434,25,,1,M,2,0.0,GO,1,GO,Y,67,1,1.0,0,0.0,0,0,0,0,0,1,0.0,1.0,N,NO_JOB,N,NO_DATA,0.0,0.0,,1.0,35.0
36257,20,,1,F,2,1.0,SP,1,SP,Y,16,1,2.0,1,0.0,0,0,0,0,0,1,0.0,1.0,N,NO_JOB,N,NO_DATA,0.0,0.0,,1.0,26.0
34218,15,,1,F,1,0.0,RS,1,RS,Y,54,1,12.0,0,0.0,0,0,0,0,0,1,0.0,1.0,Y,NO_JOB,N,NO_DATA,0.0,9.0,,1.0,39.0
39951,5,WEB,1,F,1,0.0,CE,1,CE,Y,107,1,12.0,1,0.0,0,0,0,0,0,0,0.0,0.0,Y,NO_JOB,N,NO_DATA,0.0,,,7.0,38.0
6757,15,WEB,1,M,2,1.0,RJ,1,RJ,Y,20,2,3.0,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,9.0,1,1.0,67.0
26653,5,WEB,1,F,1,0.0,SE,1,SE,N,NO_DATA,1,10.0,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,9.0,1,1.0,66.0
3992,10,WEB,1,M,2,2.0,RS,1,RS,Y,54,1,15.0,1,0.0,1,1,0,0,0,0,0.0,0.0,Y,NO_JOB,N,NO_DATA,0.0,12.0,2,1.0,45.0
40313,20,,1,M,1,0.0,SP,1,SP,Y,5,1,10.0,1,0.0,0,0,0,0,0,1,0.0,0.0,Y,SP,Y,5,0.0,9.0,2,1.0,23.0
24581,15,,1,F,2,1.0,SP,1,MT,N,NO_DATA,1,5.0,0,0.0,0,0,0,0,0,1,0.0,1.0,N,NO_JOB,N,NO_DATA,0.0,9.0,2,1.0,41.0
4950,25,WEB,1,F,1,1.0,PA,1,PA,Y,120,1,6.0,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,9.0,4,1.0,30.0
18784,10,WEB,1,M,1,0.0,PR,1,PR,Y,40,5,3.0,1,0.0,0,0,0,0,0,0,0.0,0.0,Y,PR,Y,40,0.0,9.0,2,1.0,23.0
39206,15,WEB,1,F,1,0.0,BA,1,BA,Y,84,5,,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,,,1.0,20.0
23785,15,WEB,1,M,1,0.0,MA,1,MA,Y,125,1,,1,0.0,0,0,0,0,0,0,0.0,0.0,Y,MA,N,NO_DATA,0.0,9.0,2,1.0,56.0
39509,10,,1,F,1,0.0,GO,1,GO,Y,67,1,4.0,0,0.0,0,0,0,0,0,1,0.0,1.0,N,NO_JOB,N,NO_DATA,0.0,0.0,,2.0,28.0
19063,10,,1,F,2,0.0,SP,1,SP,Y,16,1,25.0,0,0.0,0,0,0,0,0,1,0.0,1.0,N,NO_JOB,N,NO_DATA,0.0,12.0,1,1.0,66.0
48141,25,,1,M,6,0.0,MA,1,MT,N,NO_DATA,1,8.0,0,200.0,0,0,0,0,0,1,40000.0,1.0,Y,MT,Y,73,0.0,9.0,2,1.0,41.0
11315,10,WEB,1,M,6,0.0,SP,1,SP,Y,5,1,,1,400.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,9.0,1,1.0,77.0
767,10,,1,F,4,0.0,CE,1,CE,N,NO_DATA,1,9.0,0,0.0,0,0,0,0,0,1,0.0,1.0,Y,NO_JOB,N,NO_DATA,0.0,2.0,4,1.0,72.0
39320,5,,1,F,1,1.0,BA,1,BA,Y,81,1,0.0,1,0.0,0,0,0,0,0,1,0.0,1.0,Y,BA,Y,81,0.0,9.0,2,1.0,62.0
15300,15,WEB,1,F,2,1.0,DF,1,DF,Y,66,4,8.0,1,0.0,1,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,,,1.0,43.0
10299,5,CARGA,1,F,1,0.0,BA,1,BA,Y,84,1,15.0,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,9.0,1,1.0,52.0
25574,10,,1,F,2,0.0,MG,1,MG,Y,33,1,20.0,1,0.0,0,0,0,0,0,1,0.0,1.0,N,NO_JOB,N,NO_DATA,0.0,0.0,,2.0,64.0
18751,10,WEB,1,M,2,1.0,RN,1,RN,Y,105,1,10.0,1,0.0,0,0,0,0,0,0,0.0,0.0,Y,RN,Y,105,0.0,9.0,2,1.0,42.0
19299,10,CARGA,1,F,1,0.0,PA,1,PA,Y,119,1,1.0,1,0.0,0,0,0,0,0,0,0.0,0.0,Y,NO_JOB,N,NO_DATA,0.0,9.0,1,1.0,20.0
11498,20,,1,F,1,1.0,NO_DATA,0,PA,Y,117,1,0.0,1,0.0,1,0,0,0,0,0,0.0,1.0,Y,PA,Y,117,0.0,10.0,2,1.0,54.0
42251,5,,1,F,1,0.0,PE,1,PE,Y,97,1,,1,0.0,0,0,0,0,0,1,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,,,1.0,52.0
17502,25,,1,F,2,0.0,PE,1,PE,N,NO_DATA,2,0.0,1,0.0,1,0,0,0,0,1,0.0,1.0,Y,BA,Y,85,0.0,9.0,5,1.0,20.0
24291,15,,1,F,6,0.0,PI,1,PI,Y,114,2,0.0,1,0.0,0,0,0,0,0,1,0.0,1.0,N,NO_JOB,N,NO_DATA,0.0,9.0,2,1.0,44.0
8591,10,,1,M,2,0.0,GO,1,GO,Y,67,1,10.0,1,0.0,0,0,0,0,0,1,60000.0,1.0,N,NO_JOB,N,NO_DATA,0.0,0.0,,1.0,53.0
8039,10,WEB,1,M,2,1.0,PA,1,PA,Y,117,1,9.0,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,,,1.0,56.0
25262,25,WEB,1,F,2,1.0,SP,1,SP,Y,5,1,9.0,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,9.0,2,2.0,42.0
32635,15,,1,F,4,0.0,SP,1,SP,N,NO_DATA,1,0.0,1,0.0,0,0,0,0,0,1,0.0,1.0,N,NO_JOB,N,NO_DATA,0.0,9.0,1,2.0,67.0
15074,15,WEB,1,F,2,0.0,DF,1,DF,N,NO_DATA,,6.0,1,0.0,0,0,0,1,0,0,0.0,0.0,Y,DF,Y,66,0.0,9.0,2,1.0,23.0
44175,20,CARGA,1,F,1,2.0,BA,1,BA,Y,86,1,1.0,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,11.0,4,1.0,43.0
31917,10,WEB,1,F,2,0.0,SP,1,SP,N,NO_DATA,1,35.0,1,0.0,0,0,0,0,0,0,0.0,0.0,Y,NO_JOB,N,NO_DATA,0.0,9.0,4,1.0,41.0
30621,10,WEB,1,F,1,0.0,RJ,1,RJ,Y,22,1,40.0,1,0.0,0,0,0,0,0,0,0.0,0.0,Y,RJ,Y,22,0.0,9.0,2,1.0,32.0
12562,10,WEB,1,M,2,0.0,PE,1,SP,Y,5,1,30.0,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,,,1.0,67.0
40302,20,WEB,1,F,2,0.0,AL,1,AL,Y,100,5,9.0,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,9.0,5,1.0,26.0
14717,10,,1,M,2,0.0,PR,1,PR,Y,46,1,6.0,0,0.0,0,0,0,0,0,1,0.0,1.0,N,NO_JOB,N,NO_DATA,0.0,0.0,,1.0,33.0
27559,10,,1,F,5,2.0,RS,1,RS,Y,54,1,4.0,1,0.0,0,0,0,0,0,1,0.0,1.0,N,NO_JOB,N,NO_DATA,0.0,9.0,4,1.0,37.0
32564,10,,1,M,2,1.0,RN,1,RN,Y,105,1,10.0,0,0.0,0,1,0,0,0,1,0.0,1.0,Y,RN,N,NO_DATA,0.0,9.0,5,1.0,38.0
31388,20,WEB,1,M,2,2.0,SP,1,SP,Y,5,2,1.0,1,650.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,Y,5,0.0,,,1.0,37.0
45650,5,,1,F,4,0.0,CE,1,CE,N,NO_DATA,1,2.0,0,0.0,0,0,0,0,0,1,0.0,1.0,Y,NO_JOB,N,NO_DATA,0.0,9.0,1,1.0,74.0
22573,5,,1,F,2,0.0,BA,1,BA,N,NO_DATA,1,0.0,0,0.0,1,0,0,0,0,1,45000.0,1.0,Y,BA,Y,86,0.0,9.0,2,7.0,6.0
48428,10,WEB,1,M,1,0.0,RO,1,RO,Y,77,1,0.0,1,0.0,0,0,0,0,0,0,0.0,0.0,Y,NO_JOB,N,NO_DATA,0.0,,2,1.0,45.0
24905,25,WEB,1,F,4,2.0,PB,1,PB,Y,103,1,1.0,1,0.0,0,0,0,0,0,0,0.0,0.0,N,PB,N,NO_DATA,0.0,11.0,2,1.0,50.0
27684,15,,1,F,4,0.0,RJ,1,RJ,N,NO_DATA,1,0.0,1,0.0,0,1,0,0,0,0,0.0,1.0,N,NO_JOB,N,NO_DATA,0.0,9.0,1,1.0,65.0
43496,10,WEB,1,M,1,1.0,MG,1,SP,Y,5,1,15.0,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,,,1.0,46.0
25736,5,,1,F,2,0.0,CE,1,CE,Y,112,1,0.0,0,0.0,0,0,0,0,0,1,0.0,1.0,N,NO_JOB,N,NO_DATA,0.0,9.0,4,1.0,39.0
21376,5,WEB,1,M,2,0.0,BA,1,BA,Y,90,1,,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,11.0,,1.0,30.0
41310,5,WEB,1,F,2,2.0,PE,1,PE,N,NO_DATA,,6.0,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,9.0,1,1.0,68.0
7768,10,WEB,1,M,2,0.0,SP,1,SP,N,NO_DATA,1,1.0,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,,,1.0,53.0
11842,25,WEB,1,M,2,0.0,GO,1,BA,Y,84,1,5.0,1,0.0,0,0,0,0,0,0,0.0,0.0,Y,BA,Y,84,0.0,9.0,2,1.0,33.0
5764,10,WEB,1,F,2,0.0,SP,1,CE,Y,112,,,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,9.0,5,2.0,19.0
8390,10,WEB,1,F,4,0.0,MG,1,SP,Y,5,1,17.0,1,0.0,0,0,0,0,0,0,0.0,0.0,Y,NO_JOB,N,NO_DATA,0.0,,,1.0,65.0
16693,10,,1,F,2,0.0,RN,1,RN,N,NO_DATA,1,22.0,0,0.0,1,1,1,0,0,1,0.0,1.0,Y,NO_JOB,N,NO_DATA,0.0,9.0,5,1.0,43.0
33431,10,WEB,1,F,2,2.0,RS,1,RS,Y,61,1,12.0,1,0.0,0,0,0,0,0,0,0.0,0.0,Y,RS,Y,61,0.0,9.0,2,1.0,37.0
2954,10,WEB,1,F,2,0.0,MG,1,MG,Y,32,1,40.0,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,,,2.0,47.0
11913,5,WEB,1,M,2,0.0,SP,1,SP,Y,14,,,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,,,1.0,40.0
6073,5,,1,F,1,0.0,PE,1,PE,Y,97,1,21.0,0,0.0,0,0,0,0,0,1,0.0,1.0,Y,NO_JOB,N,NO_DATA,0.0,0.0,,1.0,56.0
6322,1,WEB,1,M,1,0.0,SP,1,SP,Y,5,1,2.0,1,0.0,1,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,11.0,2,1.0,19.0
26773,10,,1,F,2,0.0,CE,1,CE,Y,112,1,0.0,0,0.0,0,0,0,0,0,1,0.0,1.0,N,NO_JOB,N,NO_DATA,0.0,0.0,,1.0,48.0
24748,10,,1,M,2,4.0,NO_DATA,0,RJ,Y,20,1,0.0,1,0.0,1,0,0,0,0,0,0.0,1.0,N,NO_JOB,N,NO_DATA,0.0,11.0,1,1.0,53.0
20884,10,,1,F,1,1.0,BA,1,SP,Y,5,1,23.0,0,200.0,0,0,0,0,0,1,0.0,1.0,N,NO_JOB,N,NO_DATA,0.0,0.0,,1.0,48.0
11752,15,WEB,1,F,2,0.0,RS,1,RS,N,NO_DATA,1,15.0,1,0.0,0,0,0,0,0,0,0.0,0.0,Y,RS,Y,62,0.0,12.0,2,1.0,36.0
24777,20,WEB,1,M,1,0.0,ES,1,ES,Y,25,1,5.0,1,0.0,0,0,0,0,0,0,0.0,0.0,Y,ES,Y,25,0.0,9.0,2,2.0,34.0
20643,10,WEB,1,M,5,0.0,BA,1,BA,Y,81,1,28.0,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,2.0,4,1.0,67.0
9614,10,WEB,1,F,2,0.0,MA,1,PA,Y,120,1,7.0,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,,,1.0,18.0
45335,10,,1,F,2,0.0,RN,1,SP,Y,5,1,12.0,1,0.0,0,0,0,0,0,1,0.0,1.0,N,NO_JOB,N,NO_DATA,0.0,9.0,5,1.0,40.0
37942,10,,1,M,2,1.0,RS,1,RS,Y,54,2,0.0,0,0.0,0,0,0,0,0,1,0.0,1.0,N,NO_JOB,N,NO_DATA,0.0,9.0,1,1.0,61.0
2909,15,WEB,1,F,4,2.0,PE,1,AL,N,NO_DATA,,4.0,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,9.0,1,1.0,59.0
13785,10,WEB,1,M,1,0.0,ES,1,ES,Y,25,1,10.0,1,0.0,0,0,0,0,0,0,0.0,0.0,Y,ES,Y,25,0.0,9.0,2,2.0,24.0
26711,5,WEB,1,F,1,0.0,SP,1,PE,Y,97,1,21.0,1,0.0,0,0,0,0,0,0,30000.0,0.0,Y,PE,Y,97,0.0,9.0,,1.0,30.0
1893,10,WEB,1,F,2,0.0,RS,1,RS,N,NO_DATA,1,49.0,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,,,1.0,69.0
49929,10,WEB,1,M,5,1.0,BA,1,SP,Y,5,1,10.0,1,0.0,0,0,0,0,0,0,0.0,0.0,Y,NO_JOB,N,NO_DATA,0.0,9.0,4,1.0,37.0
23083,25,WEB,1,F,1,0.0,PI,1,DF,Y,66,1,7.0,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,9.0,2,1.0,31.0
27940,10,,1,F,2,0.0,PE,1,SP,Y,5,1,8.0,0,0.0,0,0,0,0,0,1,0.0,1.0,Y,SP,N,NO_DATA,0.0,9.0,2,1.0,39.0
41802,10,WEB,1,F,2,0.0,SP,1,SP,Y,5,1,1.0,1,0.0,1,1,0,0,0,1,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,9.0,4,1.0,30.0
19701,10,WEB,1,F,2,2.0,MG,1,MG,Y,39,1,3.0,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,,,1.0,23.0
43114,10,WEB,1,F,2,0.0,BA,1,BA,Y,81,1,0.0,1,0.0,0,0,0,0,0,0,0.0,0.0,Y,BA,Y,81,0.0,9.0,5,1.0,38.0
27337,25,,1,F,2,0.0,PE,1,PE,Y,97,1,5.0,1,0.0,0,0,0,0,0,1,0.0,0.0,Y,NO_JOB,N,NO_DATA,0.0,,,1.0,59.0
36773,20,,1,F,1,0.0,RJ,1,RJ,Y,22,2,1.0,0,0.0,0,0,0,0,0,1,0.0,1.0,N,NO_JOB,N,NO_DATA,0.0,0.0,,1.0,37.0
3198,10,,1,,2,2.0,PE,1,PE,Y,97,1,25.0,0,0.0,0,0,0,0,0,1,0.0,1.0,N,NO_JOB,N,NO_DATA,0.0,9.0,4,1.0,30.0
14675,5,,1,F,2,0.0,CE,1,CE,Y,107,1,12.0,0,0.0,0,0,0,0,0,1,0.0,1.0,Y,NO_JOB,N,NO_DATA,0.0,9.0,2,2.0,53.0
5093,20,WEB,1,F,2,0.0,SP,1,SP,Y,16,1,0.0,1,90.0,0,0,0,0,0,0,0.0,0.0,Y,SP,N,NO_DATA,0.0,9.0,5,1.0,26.0
41665,10,,1,F,2,0.0,CE,1,CE,Y,112,1,50.0,0,0.0,0,0,0,0,0,1,0.0,1.0,Y,NO_JOB,N,NO_DATA,0.0,9.0,1,1.0,60.0
86,10,WEB,1,M,4,0.0,PR,1,PR,Y,41,1,10.0,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,9.0,1,1.0,57.0
48383,25,WEB,1,F,1,3.0,BA,1,BA,Y,86,1,,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,,,1.0,47.0
35745,10,,1,F,1,0.0,BA,1,BA,Y,84,1,10.0,0,0.0,0,0,0,0,0,1,0.0,1.0,Y,NO_JOB,N,NO_DATA,0.0,9.0,1,1.0,60.0
32777,10,CARGA,1,F,4,0.0,RJ,1,RJ,Y,22,1,1.0,1,0.0,0,0,0,0,0,0,0.0,0.0,Y,NO_JOB,N,NO_DATA,0.0,11.0,1,1.0,66.0
49132,10,WEB,1,F,2,0.0,SP,1,SP,N,NO_DATA,1,,1,0.0,0,0,0,0,0,0,0.0,0.0,N,SP,N,NO_DATA,0.0,11.0,,1.0,51.0
29704,10,WEB,1,F,4,3.0,PE,1,PE,N,NO_DATA,1,10.0,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,9.0,1,1.0,57.0
14881,20,WEB,1,F,1,0.0,MG,1,MG,Y,32,1,4.0,1,0.0,0,0,0,0,0,0,0.0,0.0,Y,MG,Y,32,0.0,9.0,2,1.0,18.0
36171,10,WEB,1,F,1,0.0,MG,1,ES,Y,25,1,15.0,1,0.0,0,0,0,0,0,0,0.0,0.0,Y,ES,N,NO_DATA,0.0,9.0,2,2.0,33.0
41646,10,,1,M,1,0.0,ES,1,MG,Y,29,1,0.0,0,0.0,0,0,0,0,0,1,0.0,1.0,N,NO_JOB,N,NO_DATA,0.0,2.0,4,2.0,48.0
4785,10,WEB,1,M,2,0.0,CE,1,AL,Y,100,1,5.0,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,9.0,1,1.0,53.0
38419,25,,1,F,2,0.0,PE,1,PE,Y,97,1,1.0,1,0.0,0,0,0,0,0,1,0.0,1.0,N,NO_JOB,N,NO_DATA,0.0,11.0,4,1.0,45.0
13223,25,WEB,1,F,1,0.0,MG,1,SP,Y,5,2,,1,0.0,0,0,0,0,0,0,0.0,0.0,Y,NO_JOB,N,NO_DATA,0.0,9.0,5,1.0,35.0
32853,5,WEB,1,M,2,0.0,PE,1,SP,Y,14,1,6.0,1,0.0,0,0,0,0,0,0,0.0,0.0,Y,NO_JOB,N,NO_DATA,0.0,,1,1.0,64.0
21796,10,,1,F,1,0.0,SP,1,SP,Y,5,1,10.0,1,0.0,1,0,0,0,0,1,0.0,1.0,Y,SP,Y,5,0.0,9.0,5,1.0,18.0
122,10,WEB,1,F,2,5.0,PE,1,SP,Y,5,2,8.0,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,,,1.0,61.0
39953,10,WEB,1,F,2,2.0,CE,1,CE,Y,112,1,21.0,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,9.0,1,2.0,64.0
45167,10,WEB,1,F,4,0.0,RS,1,RS,Y,54,1,1.0,1,0.0,0,0,0,0,0,0,0.0,0.0,Y,NO_JOB,N,NO_DATA,0.0,9.0,1,1.0,76.0
32642,10,WEB,1,F,7,0.0,ES,1,ES,Y,25,1,5.0,1,0.0,0,0,0,0,0,0,0.0,0.0,Y,ES,Y,25,0.0,,,1.0,35.0
27679,10,WEB,1,M,2,0.0,AL,1,AL,N,NO_DATA,1,8.0,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,9.0,1,1.0,65.0
10705,10,WEB,1,F,2,0.0,PE,1,PE,Y,97,5,,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,9.0,2,1.0,29.0
33462,10,,1,F,4,0.0,PE,1,PE,Y,97,1,20.0,0,0.0,0,0,0,0,0,1,0.0,1.0,N,NO_JOB,N,NO_DATA,0.0,0.0,,1.0,82.0
22002,10,WEB,1,F,2,1.0,SP,1,SP,Y,15,1,2.0,1,800.0,0,0,0,0,0,0,0.0,0.0,Y,SP,Y,15,0.0,9.0,2,1.0,24.0
30171,10,,1,F,1,2.0,CE,1,CE,Y,107,1,18.0,1,0.0,0,0,0,0,0,1,0.0,0.0,Y,NO_JOB,N,NO_DATA,0.0,9.0,4,1.0,51.0
23961,5,WEB,1,F,2,3.0,PR,1,PR,Y,40,1,1.0,1,0.0,0,0,0,0,0,0,0.0,0.0,Y,PR,N,NO_DATA,0.0,9.0,2,1.0,35.0
16140,10,WEB,1,F,2,1.0,CE,1,CE,Y,107,1,10.0,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,,,1.0,60.0
27023,20,WEB,1,F,4,0.0,RN,1,RN,Y,105,1,10.0,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,,,1.0,43.0
19075,10,WEB,1,F,2,0.0,PR,1,PR,Y,41,2,1.0,1,0.0,0,0,0,0,0,0,0.0,0.0,Y,PR,N,NO_DATA,0.0,9.0,5,1.0,23.0
49285,10,WEB,1,M,4,5.0,PI,1,PA,Y,120,1,6.0,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,,,1.0,62.0
8599,20,WEB,1,F,1,0.0,RJ,1,RJ,Y,22,1,40.0,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,,,1.0,42.0
14963,20,,1,M,2,0.0,MG,1,MG,Y,29,1,3.0,0,0.0,0,0,0,0,0,1,0.0,1.0,Y,MG,N,NO_DATA,0.0,9.0,5,1.0,35.0
35255,10,WEB,1,F,2,0.0,PR,1,GO,Y,67,1,1.0,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,9.0,1,1.0,58.0
30636,10,CARGA,1,F,1,3.0,TO,1,MA,Y,126,1,1.0,1,0.0,0,0,0,0,0,0,0.0,0.0,Y,MA,N,NO_DATA,0.0,9.0,2,1.0,43.0
6982,10,WEB,1,F,4,4.0,BA,1,BA,Y,86,1,20.0,1,100.0,0,0,0,0,0,0,2500.0,0.0,Y,NO_JOB,N,NO_DATA,0.0,,,1.0,65.0
